Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
9,1,0.9993294055659337,1.0,20862,14,1,0,0.06666666666666667,1.0,0.0,0.9333333333333333
10,0,0.9980409403486327,1.0,24948,49,15,0,0.234375,1.0,0.0,0.765625
10,1,0.9992803684513529,0.0,13886,10,0,0,0.0,1.0,0.0,1.0
11,0,0.998247779857433,1.0,25055,44,12,0,0.21428571428571427,1.0,0.0,0.7857142857142857
11,1,0.9989233419465977,0.0,4639,5,0,0,0.0,1.0,0.0,1.0
12,0,0.9985241912967173,1.0,25026,37,8,0,0.17777777777777778,1.0,0.0,0.8222222222222222
12,1,0.9962264150943396,0.0,792,3,0,0,0.0,1.0,0.0,1.0
13,0,0.9985594237695078,1.0,24950,36,4,0,0.1,1.0,0.0,0.9
14,0,0.9991541126238621,0.0,24805,21,0,0,0.0,1.0,0.0,1.0
15,0,0.9989818359534088,1.0,24527,25,2,0,0.07407407407407407,1.0,0.0,0.9259259259259259
16,0,0.9992927275753037,1.0,24016,17,3,0,0.15,1.0,0.0,0.85
17,0,0.9993866374589266,1.0,22810,14,1,0,0.06666666666666667,1.0,0.0,0.9333333333333333
18,0,0.9992439277951044,1.0,21145,16,1,0,0.058823529411764705,1.0,0.0,0.9411764705882353
19,0,0.999507658643326,0.0,18271,9,0,0,0.0,1.0,0.0,1.0
20,0,0.9990696342947112,0.0,13960,13,0,0,0.0,1.0,0.0,1.0
21,0,0.9987872105843439,0.0,9059,11,0,0,0.0,1.0,0.0,1.0
22,0,0.9995694294940797,1.0,4642,2,1,0,0.3333333333333333,1.0,0.0,0.6666666666666666
23,0,0.9979497693490518,0.0,1947,4,0,0,0.0,1.0,0.0,1.0
24,0,1.0,0.0,795,0,0,0,0.0,1.0,0.0,0
